,name,description,longitude,latitude,category,country
134354,Ashoka Pillar,,77.4917867,10.2299031,Monument,India
134355,Ashoka Pillar,,73.7590824,18.4610659,Monument,India
134356,Baa ri haveli cultural centre and museum,,70.9125107,26.9122554,Museum,India
134357,Ashtachal,,78.4524783,13.6264931,Scenic View,India
134358,Ashtbhuja temple,,79.3188684,19.9517463,Tourist Attraction,India
134359,Ashvek Vintage world- Car Museum,,73.9416552,15.3208441,Museum,India
134360,Asian Elephant,,76.6693956,12.3002563,Tourist Attraction,India
134361,Asiatic Black Bear,,76.6688715,12.3009957,Tourist Attraction,India
134362,Asiatic Lion,,76.6693028,12.2984767,Tourist Attraction,India
134363,Asiatic Wild Dog / Dhole,,76.6702738,12.3018811,Tourist Attraction,India
134364,Asiatic wild dog,,85.8185096,20.3944716,Zoo,India
134365,Asnaha Pahār,,86.8884819,24.4709396,Natural Landmark,India
134366,Assam State Museum,,91.752382,26.1852883,Museum,India
134367,Assam State Zoo cum Botanical Garden,,91.7827055,26.1636522,Zoo,India
